Name,Parents,Genetics,THC,CBD,Smell & flavour,Effect
Ice Cream Cake,Gelato 33 x Wedding Cake,Indica-dominant (75%),Medium,Low,"['Earthy', 'Sweet', 'Creamy', 'Vanilla']","['Happy', 'Creative', 'Relaxed', 'Euphoric']"
Ice Kush,Kush x South Africa,Indica/sativa,16%,Unknown,"['Fresh', 'Fruity', 'Citrus', 'Strawberry']","['Cerebral', 'Balanced', 'Happy', 'Body-buzz']"
ICED Grapefruit,ICE x Grapefruit,Indica/sativa,Medium,Unknown,"['Sweet', 'Hashish', 'Banana', 'Earthy', 'Grapefruit']","['Relaxed', 'Cerebral', 'Balanced', 'Euphoric', 'Body-buzz']"
Iced Widow,ICE x White Widow,Indica-dominant,Medium,Unknown,"['Sweet', 'Spicy', 'Diesel']","['Sleepy', 'Happy', 'Talkative', 'Relaxed']"
Il Diavolo,Critical Mass x Lowryder,Indica-dominant autoflowering,17%,High,"['Fresh', 'Sour', 'Citrus', 'Sweet']","['Happy', 'Body-buzz', 'Relaxed', 'Calming', 'Sociable']"
Indian Kush,OG Kush x Black Domina,Indica-dominant (80%),20%,Unknown,"['Earthy', 'Pepper', 'Pine']","['Meditative', 'Body-buzz', 'Relaxed', 'Long-lasting']"
Indigo Berry Kush,So G Kush x Blue Monster,Indica-dominant (60%),15-21%,0.10%,"['Sweet', 'Pepper', 'Earthy', 'Spicy']","['Calming', 'Balanced', 'Relaxed', 'Body-buzz']"
Industrial Plant,Afghani x Thai,Indica/sativa (50/50),10-14%,Low,"['Citrus', 'Sweet']","['Relaxed', 'Energetic', 'Happy']"
Irie,Kasper Diesel x Juanita la Lagrimosa,Sativa-dominant (75%),18-20%,1-2%,"['Diesel', 'Fruity']","['Relaxed', 'Strong', 'Calming']"
Iron Cindy,Metal Haze x Cinderella 99,Sativa (90-100%),High,Unknown,"['Sweet', 'Fruity', 'Pungent']","['Euphoric', 'Creative', 'Cerebral', 'Energetic']"
Island Sweet Skunk,Skunk x Sweet Pink Grapefruit,Sativa-dominant (75%),23%,0.80%,"['Sweet', 'Skunk', 'Spicy']","['Energetic', 'Euphoric', 'Creative', 'Strong']"
Italian Ice,Gelato x Forbidden Fruit,Indica/sativa,High,Low,"['Musky', 'Creamy', 'Sweet', 'Fruity']","['Relaxed', 'Sociable', 'Cerebral']"
Jack Cheddar,Jack 22 x Exodus Cheese,Indica/sativa,Medium,Unknown,"['Sweet', 'Pungent', 'Cheese']","['Cerebral', 'Balanced', 'Relaxed', 'Body-buzz', 'Energetic']"
Jack Diesel,NYC Diesel x Jack Herer,Sativa-dominant,22%,0.10%,"['Flowery', 'Fresh', 'Woody', 'Eucalyptus']","['Creative', 'Sedative', 'Energetic', 'Uplifting']"
Jack F1,Mexican Haze x Skunk 1 x Northern Lights,Sativa-dominant (75%),Medium,Unknown,"['Spicy', 'Sweet', 'Cinnamon']","['Cerebral', 'Long-lasting', 'Energetic', 'Body-buzz']"
Jack Flash,Haze x Jack Herer x Super Skunk,Indica-dominant (55%),High,Unknown,"['Skunk', 'Sweet', 'Spicy']","['Euphoric', 'Relaxed', 'Uplifting']"
Jack Flash 5,Haze x Jack Herer x Super Skunk,Sativa-dominant (65%),Medium,Unknown,"['Fruity', 'Pine', 'Mint', 'Earthy', 'Spicy']","['Creative', 'Energetic', 'Happy']"
