UrlName,Name,Genetics,Parents,THC,CBD,Smell & flavour,Effect
jacky-white,Jacky White,Sativa-dominant (75%),"['Jack Herer', 'White Widow']",18-22%,0.1%,"['Sweet', 'Fruity', 'Grape']","['Happy', 'Cerebral', 'Alert', 'Sociable', 'Relaxed']"
jägg-kush,Jägg Kush,Sativa-dominant (60%),Warlock,25%,Unknown,"['Citrus', 'Fresh', 'Fruity']","['Happy', 'Cerebral', 'Euphoric']"
jamaican-blueberry-bx,Jamaican Blueberry BX,Sativa-dominant (70%),"['Blueberry BX1', 'Jamaican']",17%,Low,"['Fruity', 'Blueberry', 'Lemon']","['Creative', 'Relaxed', 'Uplifting', 'Energetic']"
jamaican-dream,Jamaican Dream,Sativa (90-100%),Jamaican,17-21%,Low,"['Strawberry', 'Citrus', 'Sweet', 'Fruity', 'Tropical']","['Tingly', 'Energetic', 'Uplifting', 'Motivated']"
jamaican-lambsbread,Jamaican Lambsbread,Sativa (100%),Jamaican,21-25%,Unknown,"['Pine', 'Earthy', 'Lemon']","['Cerebral', 'Energetic', 'Motivated', 'Euphoric']"
jamaican-og,Jamaican OG,Sativa-dominant,"['Jamaican Me Crazy', 'SFV OG Kush']",High,Unknown,"['Citrus', 'Woody', 'Herbal', 'Lemon']","['Motivated', 'Happy', 'Uplifting']"
jamaican-pearl,Jamaican Pearl,Sativa-dominant (85%),"['Jamaican', 'Early Pearl']",Medium,Unknown,"['Sweet', 'Spicy', 'Earthy', 'Fruity']","['Uplifting', 'Energetic']"
jedi-kush,Jedi Kush,Indica/sativa,"['Deathstar', 'SFV OG Kush']",High,High,"['Hashish', 'Lemon', 'Fuel']","['Uplifting', 'Balanced', 'Relaxed', 'Body-buzz']"
jenny-kush,Jenny Kush,Sativa-dominant,"['Rare Dankness 2', 'Amnesia Haze']",High,Unknown,"['Citrus', 'Lemon', 'Fruity', 'Lime']","['Happy', 'Uplifting', 'Euphoric', 'Motivated']"
jesus-og,Jesus OG,Indica-dominant (80%),"[""Hell's OG"", 'Jack The Ripper']",High,Unknown,"['Fruity', 'Kushy', 'Lemon']","['Meditative', 'Narcotic', 'Couch-lock']"
jet-47,Jet 47,Indica/sativa autoflowering,"['AK-47', 'White Widow', 'Lowryder 2']",Medium,Unknown,"['Herbal', 'Earthy', 'Fresh']","['Relaxed', 'Balanced', 'Calming']"
jillybean,Jillybean,Indica-dominant (70%),"['Cinderella 99', 'Orange Skunk', 'Romulan']",15-18%,1%,"['Tropical', 'Sweet', 'Fruity']","['Relaxed', 'Uplifting', 'Energetic', 'Happy']"
joanne-s-cbd,Joanne's CBD,,,Low,High,"['Fruity', 'Pepper', 'Candy']",Clear-headed
jock-horror,Jock Horror,Sativa-dominant,"['Mexican Haze', 'Skunk 1', 'Northern Lights']",Medium,Unknown,"['Citrus', 'Sweet', 'Spicy']","['Euphoric', 'Talkative', 'Energetic', 'Munchies', 'Cerebral']"
john-doe,John Doe,Sativa-dominant (60%),"['G13 Indica', 'Strawberry Sour Diesel']",20-22%,Unknown,"['Sweet', 'Strawberry', 'Diesel']","['Motivated', 'Narcotic', 'Happy', 'Uplifting', 'Relaxed']"
jorge-s-diamonds-1,Jorge's Diamonds 1,Indica-dominant,Unknown,16-18%,High,"['Fruity', 'Raspberry', 'Sweet', 'Honey']","['Sociable', 'Long-lasting', 'Happy', 'Cerebral', 'Relaxed']"
juanita,Juanita,Sativa-dominant,"['NYC Diesel', 'Juanita la Lagrimosa']",Low,High,"['Sour', 'Fruity']","['Calming', 'Cerebral', 'Happy']"
juanita-la-lagrimosa,Juanita La Lagrimosa,Sativa-dominant,"['Reina Madre', 'Diesel']",6-7%,7-8%,"['Fruity', 'Hashish', 'Lemon']","['Smooth', 'Cerebral', 'Clear-headed', 'Sociable']"
juicy-lucy,Juicy Lucy,Indica,"['Auto Pounder', 'Cheese']",High,Low,"['Sweet', 'Earthy', 'Cheese', 'Skunk', 'Citrus']","['Relaxed', 'Calming', 'Sedative', 'Couch-lock']"
julius-caesar,Julius Caesar,Indica-dominant,"['SFV OG Kush', 'SoCal Master Kush']",Medium,Unknown,"['Chemical', 'Pungent', 'Diesel']","['Happy', 'Calming', 'Relaxed']"
k-train,K-Train,Indica,"['Train Wreck', 'OG Kush']",22%,0.3%,"['Citrus', 'Spicy', 'Earthy', 'Fruity']","['Relaxed', 'Strong', 'Couch-lock', 'Euphoric']"
kabrales,Kabrales,,Cheese,,,"['Cheese', 'Sweet', 'Pungent']","['Uplifting', 'Relaxed', 'Sociable', 'Happy']"
kaia-kush,Kaia Kush,Indica-dominant (70%),"['OG Kush', 'Super Silver Haze']",19-20%,0.4%,"['Sweet', 'Skunk', 'Earthy', 'Spicy']","['Creative', 'Sociable', 'Relaxed', 'Happy', 'Body-buzz']"
kalashnikov,Kalashnikov,Sativa-dominant (60%),"['Mexican', 'Afghani', 'Thai', 'Colombian']",19%,Low,"['Sweet', 'Citrus', 'Earthy']","['Relaxed', 'Strong', 'Happy']"
kalashnikova,Kalashnikova,Indica-dominant (80%),"['AK-47', 'White Widow']",15.44%,0.17%,"['Citrus', 'Earthy']","['Creative', 'Uplifting', 'Happy']"
kali-47,Kali 47,Sativa-dominant,"['Kali Mist', 'AK-47']",19%,Unknown,"['Sweet', 'Caramel', 'Fruity']","['Cerebral', 'Strong', 'Uplifting']"
kali-china,Kali China,Indica-dominant (75%),"['China Yunnan', 'Kali Mist']",14-22%,0.2%,"['Sweet', 'Spicy', 'Herbal', 'Fruity']","['Uplifting', 'Cerebral', 'Euphoric', 'Strong']"
kali-dog,Kali Dog,Indica-dominant (60%),"['Chem Dawg', 'Sour Diesel']",18-20%,Low,"['Sour', 'Pungent', 'Diesel', 'Skunk']","['Talkative', 'Body-buzz', 'Creative', 'Cerebral', 'Balanced']"
kali-haze,Kali Haze,Sativa-dominant (75%),"['North Indian', 'Jamaican', 'Haze']",High,Unknown,"['Fresh', 'Sweet']","['Happy', 'Creative', 'Cerebral', 'Energetic']"
kalijah,Kalijah,Indica-dominant,"['Afghani', 'Skunk', 'Blue Heaven', 'Diesel']",Medium,Unknown,"['Skunk', 'Sweet', 'Earthy', 'Citrus']","['Euphoric', 'Uplifting', 'Energetic', 'Sociable']"
kalini-asia,Kalini Asia,Indica-dominant (75%),"['Hindu Kush', 'Purple Afghani']",22%,Low,"['Kushy', 'Lemon', 'Earthy']","['Happy', 'Calming', 'Relaxed', 'Couch-lock', 'Body-buzz']"
kama-kush-cbd,Kama Kush CBD,Indica-dominant,Unknown,6%,12%,"['Tropical', 'Sweet', 'Fruity']","['Relaxed', 'Smooth']"
kandy-kush,Kandy Kush,Indica-dominant (60%),"['Train Wreck', 'OG Kush']",Medium,Unknown,"['Sweet', 'Candy', 'Lemon']","['Uplifting', 'Euphoric', 'Balanced', 'Relaxed']"
karel-s-haze,Karel's Haze,Sativa-dominant (70%),"['Old School Haze', 'Chem Dog OG Fire']",High,Medium,"['Citrus', 'Lime', 'Tropical']","['Happy', 'Cerebral', 'Relaxed', 'Euphoric']"
karibbean-mango,Karibbean Mango,Indica-dominant,"['Mango', 'Black Domina']",Medium,Unknown,"['Sweet', 'Fruity', 'Tropical']","['Happy', 'Calming', 'Strong', 'Relaxed']"
karma-s-og,Karma's OG,Indica-dominant,Bear OG,Medium,Unknown,"['Citrus', 'Earthy', 'Spicy', 'Diesel', 'Pine']","['Relaxed', 'Body-buzz', 'Balanced', 'Euphoric', 'Long-lasting']"
kees-old-school-haze,Kees' Old School Haze,Sativa,Old School Haze,High,Unknown,"['Ammonia', 'Citrus', 'Musky']","['Trippy', 'Cerebral', 'Uplifting', 'Euphoric']"
khufu,Khufu,Indica-dominant (75%),"['Kuchi', 'SFV OG Kush']",20-22%,Unknown,"['Citrus', 'Sage', 'Lime', 'Pepper', 'Coffee']","['Relaxed', 'Talkative', 'Calming', 'Body-buzz']"
killer-grape,Killer Grape,Indica/sativa (50/50),"['Querkle', 'Killer Queen']",High,Unknown,"['Earthy', 'Hashish', 'Grape']","['Body-buzz', 'Cerebral', 'Balanced', 'Relaxed']"
killer-purps,Killer Purps,Sativa-dominant,"['Buzz Bomb', 'Sour Diesel']",19-21%,Unknown,"['Sweet', 'Diesel', 'Citrus', 'Skunk']","['Motivated', 'Cerebral', 'Happy', 'Uplifting']"
killer-queen,Killer Queen,Indica-dominant,"['Airborne G13', 'Cinderella 99']",Medium,Unknown,"['Sweet', 'Pineapple', 'Cherry', 'Tropical', 'Fruity']","['Energetic', 'Happy', 'Cerebral', 'Creative', 'Uplifting']"
killer-white,Killer White,Indica/sativa,White Widow,14-17%,Unknown,"['Fruity', 'Sweet']","['Happy', 'Strong', 'Relaxed', 'Talkative']"
killerbee-honey,KillerBee Honey,Sativa-dominant (60%),Secret,Medium,Unknown,"['Earthy', 'Sweet', 'Fresh']","['Cerebral', 'Energetic', 'Uplifting', 'Creative']"
king-congo,King Congo,Sativa (100%),,High,Unknown,"['Spicy', 'Woody', 'Fruity']","['Creative', 'Motivated', 'Cerebral']"
king-s-kush,King's Kush,Indica-dominant (70%),"['Grape', 'OG Kush']",20%,Unknown,"['Grape', 'Kushy', 'Earthy']","['Happy', 'Couch-lock', 'Relaxed', 'Dreamy', 'Body-buzz']"
kiss-dragon,Kiss Dragon,Indica-dominant (60%),"['Nepal', 'Black Domina']",18%,Unknown,"['Sweet', 'Caramel', 'Fruity', 'Hashish']","['Body-buzz', 'Energetic', 'Balanced']"
kiwi-kush,Kiwi Kush,Indica-dominant,Grapefruit Kush,14-18%,Unknown,"['Fruity', 'Sweet', 'Grapefruit']","['Clear-headed', 'Relaxed', 'Mellow', 'Body-buzz']"
kiwiskunk,Kiwiskunk,Indica-dominant,"['Unknown indica', 'Skunk']",Low,Low,"['Sweet', 'Fruity', 'Skunk']","['Calming', 'Sociable', 'Creative', 'Euphoric', 'Relaxed']"
kong-47,Kong 47,Indica-dominant,"['AK-47', 'King Kong']",Medium,Unknown,"['Skunk', 'Fruity']","['Long-lasting', 'Relaxed', 'Attentive']"
kosher-choco-kush,Kosher Choco Kush,Indica/sativa (50/50),"['White Choco', 'Kosher Kush']",21%,0.4%,"['Earthy', 'Chocolate', 'Pine']","['Happy', 'Body-buzz', 'Calming', 'Tingly', 'Relaxed']"
kosher-kush,Kosher Kush,Indica-dominant,Jew Gold Cut,Medium,Unknown,"['Pungent', 'Earthy', 'Spicy', 'Fruity']","['Sleepy', 'Happy', 'Strong', 'Relaxed', 'Cerebral']"
kosher-tangie-kush,Kosher Tangie Kush,Indica-dominant (60%),"['Kosher Kush', 'Tangie']",21%,0.4%,"['Earthy', 'Pungent', 'Citrus']","['Long-lasting', 'Calming', 'Relaxed', 'Happy', 'Body-buzz']"
kraken,Kraken,Indica-dominant,,High,Low,"['Mint', 'Fresh']","['Long-lasting', 'Relaxed', 'Couch-lock']"
kreamy-karamel,Kreamy Karamel,Indica (100%),"['Black Domina', 'Maple Leaf Indica', 'Afghani']",15-16%,0.5%,"['Sweet', 'Fruity', 'Spicy']","['Relaxed', 'Body-buzz', 'Narcotic', 'Dreamy']"
kritikal-k,Kritikal-K,Indica-dominant (70%),"['Critical', 'Northern Lights']",19-20%,0.3%,"['Earthy', 'Lemon', 'Citrus', 'Sweet']","['Relaxed', 'Body-buzz', 'Sleepy', 'Narcotic']"
kuchi,Kuchi,Indica-dominant (60%),"['Cheese', 'SFV OG Kush']",20-22%,Unknown,"['Earthy', 'Sweet', 'Fruity', 'Cheese', 'Kushy']","['Relaxed', 'Sleepy', 'Happy']"
kush-bomb,Kush Bomb,Indica/sativa,"['Big Bomb', 'Californian Kush']",20-25%,Unknown,"['Citrus', 'Diesel']","['Strong', 'Cerebral', 'Uplifting', 'Energetic']"
kush-doctor,Kush Doctor,Indica/sativa,"['OG Kush', 'Berry Ryder Autoflowering', 'Ultra Lemon Haze']",High,Unknown,"['Spicy', 'Blueberry', 'Citrus', 'Kushy', 'Fuel']","['Cerebral', 'Balanced', 'Relaxed', 'Body-buzz']"
kush-n-cheese,Kush-N-Cheese,Sativa-dominant (60%),"['UK Cheese', 'Emerald OG Kush']",High,Low,"['Cheese', 'Fruity', 'Citrus', 'Diesel']","['Sociable', 'Talkative', 'Euphoric']"
kushadelic,Kushadelic,Indica-dominant (80%),"['OG Kush', 'G13 Haze']",High,Unknown,"['Citrus', 'Flowery', 'Earthy']","['Tingly', 'Body-buzz', 'Creative', 'Cerebral', 'Relaxed']"
kushage,Kushage,Indica/sativa,"['S.A.G.E.', 'OG Kush']",Medium,Unknown,"['Earthy', 'Spicy', 'Sage', 'Sandalwood']","['Euphoric', 'Balanced', 'Relaxed', 'Body-buzz']"
kushberry,Kushberry,Indica-dominant (70%),"['OG Kush', 'Oregon Blueberry']",High,Unknown,"['Fruity', 'Kushy', 'Blueberry', 'Sweet']","['Relaxed', 'Body-buzz', 'Uplifting', 'Calming']"
la-affie,LA Affie,Indica (90-100%),LA Affie,Medium,Unknown,"['Herbal', 'Spicy', 'Fruity']","['Relaxed', 'Giggly', 'Strong', 'Happy', 'Calming']"
la-amnesia,LA Amnesia,Sativa-dominant,"['Kush', 'Amnesia Haze']",20-24%,0.1%,"['Citrus', 'Earthy', 'Fruity']","['Long-lasting', 'Energetic', 'Uplifting', 'Euphoric']"
la-bella-afrodita,La Bella Afrodita,Indica/sativa autoflowering,"['Il Diavolo', 'Auto AK']",20%,Unknown,"['Fruity', 'Citrus', 'Fresh']","['Meditative', 'Euphoric', 'Relaxed', 'Long-lasting']"
la-blanca,La Blanca,Indica/sativa,"['Black Domina', 'Great White Shark', 'Snow White']",14-15%,0.5%,"['Fresh', 'Sweet', 'Earthy', 'Citrus']","['Mellow', 'Creative', 'Balanced', 'Clear-headed', 'Relaxed', 'Body-buzz']"
la-cannalope,LA Cannalope,Indica/sativa (50/50),"['LA Confidential', 'Cannalope Haze']",Medium,Unknown,"['Sweet', 'Spicy', 'Earthy']","['Cerebral', 'Strong', 'Relaxed']"
la-cheese,LA Cheese,Indica (90-100%),"['LA Confidential', 'Big Buddha Cheese']",Medium,Medium,"['Sweet', 'Pungent', 'Cheese', 'Skunk']","['Happy', 'Relaxed']"
la-chocolat,LA Chocolat,Indica-dominant (60%),"['LA Confidential', 'Chocolope']",High,Unknown,"['Earthy', 'Chocolate', 'Fruity']","['Cerebral', 'Euphoric', 'Relaxed']"
la-confidential,LA Confidential,Indica (90-100%),"['Afghani', 'OG LA Affie']",High,Unknown,"['Sweet', 'Earthy', 'Spicy']","['Relaxed', 'Strong', 'Energetic']"
la-musa,La Musa,Indica/sativa autoflowering,"['Belladonna', 'Alaska Auto']",19%,Unknown,"['Chocolate', 'Skunk', 'Sweet']","['Calming', 'Relaxed', 'Cerebral']"
la-niña,La Niña,Indica/sativa,"['South Indian', 'Haze', 'Brazilian']",High,Unknown,"['Citrus', 'Fruity', 'Pungent']","['Energetic', 'Uplifting', 'Relaxed']"
la-rica-classic-thc,La Rica Classic THC,Indica-dominant,Unknown,20%,Unknown,"['Fruity', 'Strawberry']","['Calming', 'Relaxed', 'Sleepy']"
la-ultra,LA Ultra,Indica-dominant (80%),"['MK-Ultra', 'LA Confidential']",19-23%,Unknown,"['Sweet', 'Spicy']","['Narcotic', 'Relaxed', 'Strong', 'Giggly']"
la-woman,LA Woman,Indica-dominant (70%),"['LA Confidential', 'Martian Mean Green']",Medium,Unknown,"['Sweet', 'Earthy', 'Citrus', 'Pungent']","['Euphoric', 'Relaxed', 'Uplifting']"
ladyburn-1974,Ladyburn 1974,Indica/sativa (50/50),"['Ice Dream', 'Jack Herer']",21.8%,0.11%,"['Herbal', 'Spicy']","['Strong', 'Energetic', 'Uplifting', 'Narcotic', 'Relaxed']"
landysh,Landysh,Sativa-dominant (60%),"['Skunk 2', 'Hawaiian', 'Afghani']",Medium,Unknown,"['Fresh', 'Lavender', 'Tropical', 'Fruity']","['Creative', 'Motivated', 'Happy', 'Uplifting']"
langui-kush,Langui Kush,Sativa-dominant (80%),"['Harlequin', 'Mango', 'OG Kush']",Medium,High,"['Fruity', 'Sweet', 'Mango']","['Smooth', 'Energetic', 'Clear-headed']"
larry-bird-kush,Larry Bird Kush,Indica/sativa (50/50),"['Sunset Sherbet', 'Thin Mint Girl Scout Cookies']",24-26%,1%,"['Sweet', 'Grape', 'Mint', 'Fresh']","['Strong', 'Cerebral', 'Balanced', 'Uplifting', 'Relaxed', 'Body-buzz']"
larry-og-kush,Larry OG Kush,Indica/sativa,"['Larry OG', 'SFV OG Kush']",Medium,Unknown,"['Diesel', 'Lemon', 'Chemical']","['Sociable', 'Calming', 'Relaxed', 'Balanced']"
las-vegas-purple-kush-bx,Las Vegas Purple Kush BX,Indica-dominant (80%),"['Las Vegas Purple Kush', 'Sin City Kush']",High,Unknown,"['Sweet', 'Lavender']","['Relaxed', 'Strong']"
laughing-buddha,Laughing Buddha,Sativa-dominant (80%),"['Jamaican', 'Thai']",High,Low,"['Sweet', 'Sour', 'Earthy', 'Spicy', 'Fruity']","['Uplifting', 'Happy', 'Creative', 'Relaxed', 'Energetic']"
lava-cake,Lava Cake,Indica-dominant,"['Grape Pie', 'Thin Mint Girl Scout Cookies']",High,Low,"['Sweet', 'Creamy', 'Grape', 'Berry']","['Relaxed', 'Couch-lock', 'Strong', 'Happy']"
lava-cake-automatic,Lava Cake Automatic,Indica-dominant autoflowering,"['Thin Mint Girl Scout Cookies', 'Grape Pie', 'ruderalis']",High,Low,"['Grape', 'Berry', 'Fruity']","['Munchies', 'Couch-lock', 'Narcotic', 'Happy']"
lebron-haze,Lebron Haze,Sativa-dominant (85%),"['Haze', 'Lemon Thai']",22%,Low,"['Lemon', 'Citrus']","['Euphoric', 'Cerebral', 'Creative']"
lebron-haze-xxl-auto,Lebron Haze XXL Auto,Indica-dominant (70%) autoflowering,,Medium,Low,"['Pine', 'Citrus']","['Happy', 'Euphoric']"
legendary-punch,Legendary Punch,Indica-dominant (60%),"['Legend OG', 'Purple Punch']",19%,Medium,"['Lavender', 'Berry', 'Grape']","['Cerebral', 'Relaxed', 'Body-buzz']"
legends-gold,Legends Gold,Indica (90-100%),"['Pot of Gold', 'Big Buddha Cheese']",Medium,Unknown,"['Cheese', 'Hashish', 'Pungent']","['Body-buzz', 'Meditative', 'Narcotic', 'Long-lasting', 'Strong']"
lemon-alien-dawg,Lemon Alien Dawg,Indica-dominant,"['Lemon Kush', 'Alien Dawg']",17–23%,Low,"['Sour', 'Earthy', 'Sweet', 'Lemon']","['Happy', 'Relaxed', 'Euphoric']"
lemon-auto-cbd,Lemon Auto CBD,Sativa-dominant autoflowering,"['Amnesia', 'Juanita la Lagrimosa', 'Lowryder']",8%,8%,"['Fresh', 'Cherry', 'Citrus', 'Fruity']","['Balanced', 'Uplifting', 'Mellow', 'Relaxed']"
lemon-candy,Lemon Candy,Sativa-dominant (60%),"['North American indica', 'NYC Diesel']",Medium,Unknown,"['Citrus', 'Lemon', 'Skunk']","['Uplifting', 'Euphoric', 'Relaxed']"
lemon-cherry-gelato,Lemon Cherry Gelato,Indica-dominant,"['Girl Scout Cookies', 'Sunset Sherbet']",High,Low,"['Citrus', 'Sweet', 'Berry']","['Calming', 'Relaxed']"
lemon-garlic-og,Lemon Garlic OG,Indica-dominant (80%),OG Kush,17-20%,0.1%,"['Garlic', 'Lemon', 'Pine']","['Cerebral', 'Balanced', 'Relaxed', 'Body-buzz']"
lemon-haze,Lemon Haze,Sativa-dominant (60%),"['Lemon Skunk', 'Amnesia Haze']",21%,Unknown,"['Skunk', 'Citrus', 'Lemon']","['Relaxed', 'Euphoric', 'Cerebral', 'Trippy', 'Happy', 'Energetic']"
lemon-head,Lemon Head,Sativa-dominant,"['Lemon', 'Lemonade']",High,Unknown,"['Sweet', 'Lemon', 'Sour']","['Energetic', 'Strong', 'Cerebral']"
lemon-ice,Lemon Ice,Sativa-dominant (60%),"['ICE', 'Lemon Haze']",Medium,Unknown,"['Sweet', 'Citrus', 'Skunk']","['Energetic', 'Uplifting', 'Creative']"
lemon-kush,Lemon Kush,Indica/sativa (50/50),"['Kush', 'Lemon']",20%,Unknown,"['Fresh', 'Sweet', 'Citrus']","['Sociable', 'Giggly', 'Uplifting', 'Relaxed', 'Cerebral']"
lemon-kush-headband,Lemon Kush Headband,Sativa-dominant (70%),"['215 Super Bud', 'Headband', 'Original OG']",19-23%,0.1%,"['Sour', 'Fuel', 'Woody', 'Lemon', 'Fruity']","['Euphoric', 'Creative', 'Long-lasting', 'Energetic', 'Cerebral']"
lemon-larry-og-kush-ibl,Lemon Larry OG Kush-IBL,Indica-dominant,"['OG Kush', 'OG Kush Lemon Larry']",High,Low,"['Sour', 'Kushy', 'Lemon', 'Diesel']","['Sedative', 'Long-lasting', 'Strong', 'Relaxed']"
lemon-og-candy,Lemon OG Candy,Sativa-dominant (65%),"['Super Lemon OG', 'Amnesia Haze']",20%,Unknown,"['Earthy', 'Lemon', 'Spicy']","['Uplifting', 'Euphoric', 'Cerebral', 'Creative']"
lemon-og-haze,Lemon OG Haze,Sativa-dominant,"['Haze 1', 'Lemon OG Kush']",Medium,Medium,"['Citrus', 'Lemon', 'Pineapple']","['Motivated', 'Happy', 'Uplifting', 'Energetic']"
lemon-og-kush,Lemon OG Kush,Indica-dominant (60%),"['The OG 18', 'Lemon Skunk']",Medium,Unknown,"['Fruity', 'Diesel', 'Lemon', 'Earthy', 'Spicy']","['Relaxed', 'Calming', 'Trippy', 'Euphoric']"
lemon-power-haze,Lemon Power Haze,Sativa-dominant (75%),"['Lemon Skunk', 'Amnesia Haze']",20%,Unknown,"['Lemon', 'Citrus', 'Sweet', 'Fresh']","['Long-lasting', 'Energetic', 'Motivated', 'Euphoric', 'Creative']"
lemon-shining-silver-haze,Lemon Shining Silver Haze,Sativa-dominant (75%),"['Lemon Skunk', 'Amnesia Haze']",21%,Low,"['Lemon', 'Citrus', 'Sweet', 'Fruity']","['Sociable', 'Energetic', 'Uplifting', 'Euphoric', 'Cerebral']"
lemon-skunk,Lemon Skunk,Sativa-dominant (60%),Skunk,Medium,Unknown,"['Citrus', 'Skunk']","['Creative', 'Calming', 'Sociable', 'Cerebral']"
lemon-stilton,Lemon Stilton,Indica/sativa (50/50),"['Jack The Ripper', 'Exodus Cheese']",Medium,Unknown,"['Sour', 'Lemon', 'Cheese', 'Candy']","['Uplifting', 'Relaxed', 'Balanced']"
lemon-thai-kush,Lemon Thai Kush,Sativa-dominant (60%),"['White Widow', 'Haze']",16-20%,0.1%,"['Citrus', 'Pine', 'Flowery', 'Woody', 'Pepper']","['Cerebral', 'Relaxed']"
lemon-tree,Lemon Tree,Indica-dominant (55%),"['Sour Diesel', 'Lemon Skunk']",23%,Low,"['Citrus', 'Tropical', 'Lemon', 'Diesel', 'Skunk', 'Fruity']","['Uplifting', 'Happy', 'Relaxed']"
lemon-walker,Lemon Walker,Indica-dominant (60%),"['Skywalker OG', 'Lemon Skunk']",Medium,Unknown,"['Citrus', 'Fruity', 'Lemon']","['Relaxed', 'Cerebral', 'Uplifting', 'Happy']"
lemon-wonder-automatic,Lemon Wonder Automatic,Indica autoflowering,"['Lowryder', 'Lemon OG']",Medium,Low,Lemon,Cerebral
lemon-zkittle,Lemon Zkittle,Sativa-dominant (60%),"['Las Vegas Lemon Skunk', 'Zkittlez']",20%,Unknown,"['Sweet', 'Lemon', 'Skunk', 'Citrus']","['Tingly', 'Relaxed', 'Cerebral', 'Strong', 'Happy']"
lemonchello,Lemonchello,Indica/sativa,"['Lemonade', 'Cherry Pie']",17%,Low,"['Fruity', 'Cherry', 'Lemon', 'Citrus', 'Lime']","['Uplifting', 'Happy', 'Relaxed']"
lemonesia,Lemonesia,Sativa-dominant,"['Amnesia Haze', 'Sour Diesel']",Medium,Unknown,"['Sour', 'Lemon', 'Pine']","['Cerebral', 'Uplifting']"
liberty-haze,Liberty Haze,Sativa-dominant (60%),"['ChemDawg 91', 'G13']",25%,Unknown,"['Citrus', 'Flowery']","['Uplifting', 'Cerebral', 'Strong']"
little-dipper,Little Dipper,Indica-dominant autoflowering,"['Milky Way', 'Lowryder 2']",Low,High,"['Herbal', 'Sweet']","['Relaxed', 'Narcotic', 'Sleepy']"
lol,LOL,Sativa-dominant,"['Nebula', 'Afghani']",23%,0.5%,"['Citrus', 'Honey', 'Fruity']","['Giggly', 'Uplifting', 'Euphoric', 'Happy', 'Energetic']"
london-pound-cake,London Pound Cake,Indica-dominant,Sunset Sherbet,21–25%,Low,"['Lemon', 'Berry', 'Sweet', 'Grape', 'Vanilla']","['Munchies', 'Relaxed']"
lost-coast-hash-plant,Lost Coast Hash Plant,Indica-dominant (80%),"['Lost Coast OG', 'G13', 'Hash Plant']",17-21%,0.1%,"['Fruity', 'Musky', 'Spicy', 'Sweet', 'Earthy']","['Happy', 'Long-lasting', 'Relaxed', 'Body-buzz']"
lost-coast-og,Lost Coast OG,Indica-dominant (75%),"['Lemon Thai', 'Pakistani Kush']",17-20%,Unknown,"['Lemon', 'Sour', 'Citrus', 'Woody', 'Tropical', 'Earthy']","['Calming', 'Relaxed', 'Strong']"
louis-xiii-og,Louis XIII OG,Indica/sativa,"['Louis XIII', 'Tahoe OG Kush']",High,Unknown,"['Diesel', 'Lemon', 'Citrus']","['Motivated', 'Energetic', 'Uplifting', 'Euphoric', 'Creative']"
lowryder,Lowryder,Indica-dominant autoflowering,"['Lowryder', 'Santa Maria']",Low,Unknown,"['Spicy', 'Woody', 'Herbal']","['Calming', 'Relaxed']"
lowryder-2,Lowryder 2,Indica-dominant autoflowering,"['Lowryder', 'Santa Maria']",Low,Unknown,"['Spicy', 'Sweet', 'Herbal']","['Body-buzz', 'Happy', 'Relaxed']"
lsd,LSD,Indica-dominant (70%),"['Original Skunk', 'Afghani']",High,Unknown,"['Musky', 'Earthy', 'Nutty', 'Hashish']","['Strong', 'Euphoric', 'Trippy', 'Psychedelic', 'Cerebral']"
lsd-poison,LSD Poison,Sativa-dominant (75%),"['Lavender', 'Skunk', 'Durban Poison']",21%,Unknown,"['Pepper', 'Flowery', 'Fruity']","['Relaxed', 'Uplifting', 'Trippy', 'Euphoric', 'Body-buzz']"
lsd-25,LSD-25,Indica-dominant autoflowering,"['LSD', 'ruderalis']",High,Low,"['Skunk', 'Pungent']","['Euphoric', 'Relaxed']"
lucid-bolt,Lucid Bolt,Indica-dominant (70%),Unknown,17-21%,0.1%,"['Chemical', 'Lemon', 'Sour', 'Fruity']","['Body-buzz', 'Happy', 'Clear-headed', 'Relaxed']"
lucky-queen,Lucky Queen,Indica-dominant (70%),"['Silver Pearl', 'Santa Maria']",Medium,Unknown,"['Earthy', 'Fresh', 'Flowery']","['Long-lasting', 'Body-buzz', 'Relaxed']"
mac-1,MAC 1,Indica/sativa (50/50),"['Alien Cookies', 'Miracle 15']",20–23%,Low,"['Sour', 'Creamy', 'Sweet', 'Earthy']","['Creative', 'Focused', 'Energetic', 'Uplifting', 'Euphoric']"
magma,Magma,Indica-dominant,"['Critical', 'White strain']",High,Unknown,"['Fruity', 'Pungent', 'Citrus', 'Sweet']","['Relaxed', 'Calming', 'Strong', 'Narcotic']"
magnum,Magnum,Sativa-dominant autoflowering,Unknown,Medium,Unknown,"['Fresh', 'Spicy', 'Chemical']","['Calming', 'Happy', 'Relaxed']"
magnum-platinum-haze,Magnum Platinum Haze,Sativa-dominant (80%),"['S5 Haze', 'Chem Dawg']",Medium,Unknown,"['Pine', 'Fresh', 'Woody']","['Uplifting', 'Body-buzz', 'Motivated', 'Cerebral', 'Creative']"
mahayana,Mahayana,Sativa-dominant,"['Dominator', 'Lucifer OG']",Medium,Unknown,"['Earthy', 'Fresh', 'Nutty']","['Cerebral', 'Euphoric', 'Meditative', 'Energetic']"
